user_id,nome,email,data_cadastro,cidade,estado,valor_ultima_compra,data_ultimo_login
ba09f178-c78a-412e-a548-d10f2ee8ab2a,Marcos Vinicius Silveira,monteiromateus@example.org,2025-10-09,Pereira,SP,511.49,2026-08-01 01:52:23
e1eb3936-dc32-4972-af19-8e1b38e5cebf,Srta. Isabel Vieira,kaiqueguerra@example.com,2025-01-25,Correia da Mata,MG,647.44,2026-07-21 22:17:20
7b8953c0-1c26-4da3-b067-e79da74c0260,Valentim da Conceição,limavitoria@example.org,2024-12-20,Viana do Oeste,PR,618.83,2026-08-15 13:00:25
dfd46842-e520-47ae-8c56-2d3671affc96,Sr. Théo Cavalcanti,mateus40@example.net,2025-06-28,Cirino da Praia,BA,426.74,2026-08-09 16:14:08
f3c3fa72-8783-4b35-92bb-6cd4674c745a,Srta. Clarice Moraes,lda-cunha@example.org,2026-07-07,Martins do Amparo,SP,96.35,2026-07-21 01:34:11
ecdb0cad-3e4c-4aee-857b-5c8dd9086dbe,Gabriela Vargas,alexia60@example.org,2026-05-28,Rios Grande,PR,872.34,2026-08-03 20:48:23
15e4cbfb-3102-49b7-bd59-29ff1ef01584,Bernardo Porto,kda-conceicao@example.net,2025-10-28,Gonçalves,RJ,486.98,2026-07-26 21:33:35
9e2956a9-a072-4a80-9818-d5186b38f5d4,Catarina Aparecida,vieiracaua@example.net,2025-07-04,Santos,SP,880.02,2026-08-15 21:38:31
a5355ee5-9440-47d5-878a-e9cdd650a617,Kevin Cavalcante,otto60@example.net,2024-11-30,Pires,MG,904.84,2026-07-27 13:19:35
39a09094-c426-4d34-a8ee-7e4599f52746,Luísa Farias,gustavo58@example.net,2026-02-09,Aparecida,PR,750.09,2026-08-13 05:06:26
f423aec8-ddfc-4568-a212-3f7f4d3e4635,Stella Fonseca,wmoraes@example.org,2025-10-09,da Conceição do Sul,MG,929.53,2026-08-07 00:51:18
6d589500-fa4b-4045-b117-b0732825002f,Emanuelly Freitas,viniciusborges@example.net,2026-02-15,Camargo das Flores,SP,493.62,2026-08-10 19:09:52
c8d9468e-5b5a-43cc-a52d-bef5a6893be6,Ravy Ribeiro,milena75@example.com,2024-11-04,Santos,SC,824.2,2026-08-01 09:50:01
1f6b21bd-964e-4e33-847d-8b547bc84fbc,Yago Monteiro,rafaelaabreu@example.com,2025-05-11,Lopes da Praia,RJ,987.96,2026-08-07 19:56:34
47d04004-4fc2-49e1-9fad-cea7dd7847d7,Evelyn Fogaça,rfonseca@example.com,2024-11-24,Câmara de Moraes,MG,306.4,2026-07-31 06:16:13
d4728834-df4f-4369-8d39-534e0b684d34,Nicolas da Luz,bmelo@example.com,2024-10-23,Fonseca,SP,598.56,2026-08-12 14:58:06
4a58fabf-f415-45f2-adc1-05badba1ad52,Mariane Macedo,rda-paz@example.org,2025-08-20,Rios,MG,26.45,2026-07-28 12:12:53
1f8e21a4-1401-4ed1-b503-ef2e85ff2e10,Ana Júlia Camargo,andre61@example.net,2026-07-28,Guerra de Barros,PR,93.0,2026-07-27 20:17:46
1dce64c5-f2ec-4807-94a2-ddeac1824c27,Maria Luiza Novais,emanuelly01@example.org,2026-01-28,Nunes,PR,511.49,2026-08-16 03:51:26
dedd346e-11a5-4c8c-8101-641432c1b344,Jade Jesus,rodrigoda-mata@example.org,2026-03-18,Novais,SP,511.49,2026-08-03 10:18:59
4bac29a6-3036-4dbd-89a3-03cfa2085d6b,Melina Mendonça,dante09@example.net,2025-08-02,Lopes,RJ,624.23,2026-08-16 12:57:03
f175a8bf-6efb-42b7-83c8-d0df9f208f57,Pedro Henrique Garcia,pereirasamuel@example.org,2025-07-26,Fonseca,BA,840.49,2026-08-09 21:10:17
ce3f52c0-57c5-4acb-970b-af58570b300a,Ana Beatriz Lima,henrique11@example.com,2025-03-12,Cunha de Cunha,SC,997.1,2026-07-27 18:35:26
82b8ce4f-a8a1-46b9-8856-a3d7f0775018,Maitê Pimenta,qmartins@example.org,2024-12-23,Mendes,SP,168.56,2026-08-14 10:20:22
589c3b23-dda9-41f9-a4c4-f8850288d6c2,Ana Carolina Pereira,mendoncagiovanna@example.net,2025-03-04,Freitas,PR,622.37,2026-07-31 14:08:16
4fd5fc06-d12b-4f68-847a-606b60c97fa2,Sr. Francisco Abreu,melinada-mota@example.org,2025-01-25,Barbosa dos Dourados,PR,297.87,2026-07-21 15:55:16
